"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"40.193.220.98",8147,"41.177.241.46",4500,68,10220,51,7450,17,2770,1.318111,211.52178800000002,281.7676635751585,104.76462122190456
"40.193.220.98",7746,"41.177.241.46",4500,51,7298,42,5840,9,1458,2.869513,209.997301,222.47904986169323,55.54357100999122
"40.193.220.98",7592,"41.177.241.46",4500,108,16050,73,10624,35,5426,3.115097,200.56265000000002,423.76783513779856,216.43112513720774
"40.193.220.98",8482,"41.177.241.46",4500,56,8448,40,5572,16,2876,3.496549,197.155924,226.0951590782532,116.69951139789237
"41.106.180.77",43550,"41.177.241.46",443,39,6029,31,5109,8,920,0.260107,210.27799,194.37127014577229,35.001285679019475
"41.106.180.77",30882,"41.177.241.46",443,200,44792,141,31535,59,13257,3.394238,207.36660799999999,1216.5893170225363,511.44203506477766
"41.106.180.77",61602,"41.177.241.46",443,33,5195,26,4382,7,813,13.37424,189.93062400000002,184.57265743516956,34.2440827235949
"41.106.180.77",8005,"41.177.241.46",443,59,14105,41,8371,18,5734,16.974563,190.006628,352.4508629246344,241.42315709113052
"41.177.3.13",5353,"210.218.218.3",5353,2,182,2,182,0,0,155.571007,5.899999999314787e-5,0,0
"41.177.3.20",137,"41.177.3.91",137,72,6912,72,6912,0,0,11.406447,191.24682,289.1342193297645,0
"41.177.3.67",60578,"210.218.218.3",5353,2,272,2,272,0,0,28.173347,0.00026199999999931833,0,0
"41.177.3.67",56972,"210.218.218.3",5353,2,272,2,272,0,0,88.169157,0.0002649999999988495,0,0
"41.177.3.67",52182,"210.218.218.3",5353,2,272,2,272,0,0,148.168984,0.00027700000001118497,0,0
"41.177.3.67",50385,"210.218.218.3",5353,2,272,2,272,0,0,208.163152,0.0002589999999997872,0,0
"41.177.3.77",137,"41.177.3.91",137,12,1152,12,1152,0,0,86.504703,125.560833,73.3986847634246,0
"41.177.3.81",55974,"145.95.81.118",161,2,426,1,199,1,227,1.176086,0.004879000000000078,0,0
"41.177.3.81",55987,"145.95.81.118",161,2,2103,1,968,1,1135,1.845441,0.026555999999999802,291610.18225636607,341918.96369935485
"41.177.3.81",56104,"145.95.81.118",161,2,756,1,356,1,400,5.665402,0.008725000000000094,326418.338108879,366762.1776504259
"41.177.3.81",56234,"145.95.48.2",161,2,259,1,128,1,131,9.315981,0.0014170000000000016,0,0
"41.177.3.81",56668,"145.95.81.118",161,2,2012,1,917,1,1095,25.603402,0.02558000000000149,286786.5519937284,342455.04300232563
"41.177.3.81",56703,"145.95.81.118",161,4,4288,2,1932,2,2356,26.315432,4.9733209999999985,3107.782505894955,3789.8217307911564
"41.177.3.81",56852,"145.95.81.118",161,4,4284,2,1936,2,2348,31.668792,2.068985999999999,7485.792557320353,9078.843452783156
"41.177.3.81",56923,"145.95.81.118",161,2,2143,1,968,1,1175,34.225212,0.02069500000000346,374196.6658612566,454215.99420142197
"41.177.3.81",56995,"145.95.81.118",161,2,1896,1,866,1,1030,35.71422,0.010913000000002171,634839.1826260993,755062.769174229
"41.177.3.81",57062,"145.95.48.2",161,2,266,1,131,1,135,37.891069,0.0024629999999987717,0,0
"41.177.3.81",57317,"145.95.81.118",161,2,1774,1,828,1,946,41.963271,0.03437300000000221,192709.39400109314,220172.81005438903
"41.177.3.81",57646,"145.95.81.118",161,2,2047,1,953,1,1094,47.413416,0.028863000000001193,264144.40633335704,303225.5829262252
"41.177.3.81",58146,"145.95.81.118",161,2,1614,1,747,1,867,49.317076,0.0064289999999971315,929538.0307983615,1078861.4092398654
"41.177.3.81",58582,"145.95.48.2",161,2,266,1,131,1,135,54.871284,0.0013189999999951851,0,0
"41.177.3.81",59249,"145.95.48.2",161,2,259,1,128,1,131,64.297835,0.0012709999999884758,0,0
"41.177.3.81",59672,"145.95.48.2",161,2,266,1,131,1,135,75.147637,0.0025109999999983756,0,0
"41.177.3.81",60469,"145.95.48.2",161,2,259,1,128,1,131,101.190226,0.0024920000000037135,0,0
"41.177.3.81",60470,"145.95.48.2",161,2,266,1,131,1,135,101.190473,0.0027460000000019136,0,0
"41.177.3.81",60633,"145.95.48.2",161,2,259,1,128,1,131,104.150898,0.002453000000002703,0,0
"41.177.3.81",61224,"145.95.81.118",161,2,2091,1,968,1,1123,118.678071,0.02172199999999691,356504.9258816454,413589.9088482312
"41.177.3.81",62732,"145.95.48.2",161,2,266,1,131,1,135,137.262454,0.0027050000000201635,0,0
"41.177.3.81",62793,"145.95.48.2",161,2,259,1,128,1,131,138.068805,0.0020690000000058717,0,0
"41.177.3.81",62855,"145.95.48.2",161,2,259,1,128,1,131,139.437306,0.0026019999999959964,0,0
"41.177.3.81",62856,"145.95.48.2",161,2,266,1,131,1,135,139.437568,0.00452300000000605,0,0
"41.177.3.81",62883,"145.95.48.2",161,2,266,1,131,1,135,140.874363,0.005025000000017599,208557.21392961784,214925.37313357563
"41.177.3.81",63307,"145.95.48.2",161,2,259,1,128,1,131,149.884817,0.0027719999999931133,0,0
"41.177.3.81",63308,"145.95.48.2",161,2,266,1,131,1,135,149.88503,0.003078999999985399,0,0
"41.177.3.81",65403,"145.95.81.118",161,2,2095,1,968,1,1127,174.539788,0.008986000000021477,861784.9988850981,1003338.5265945306
"41.177.3.81",32841,"145.95.48.2",161,2,259,1,128,1,131,181.888543,0.0023989999999969314,0,0
"41.177.3.81",33090,"145.95.81.118",161,2,2033,1,954,1,1079,190.369462,0.018580000000014252,410764.2626476935,464585.5758876953
"41.177.3.81",33540,"145.95.81.118",161,2,2068,1,968,1,1100,204.25537,0.004158999999987145,0,0
"41.177.3.81",33551,"145.95.48.2",161,2,266,1,131,1,135,204.874077,0.1961379999999906,5343.176742905762,5506.327177803647
"41.177.3.81",33760,"145.95.81.118",161,4,4022,2,1904,2,2118,210.2954,2.233814999999993,6818.827879658812,7585.229752687691
"41.177.3.81",33781,"145.95.48.2",161,2,266,1,131,1,135,210.939683,0.0020729999999957727,0,0
"41.177.3.81",33830,"145.95.48.2",161,2,259,1,128,1,131,212.905228,0.0018709999999941829,0,0
"41.177.3.90",5353,"210.218.218.3",5353,2,186,2,186,0,0,155.56835,5.600000000072214e-5,0,0
"41.177.3.91",137,"41.177.3.215",137,8,768,0,0,8,768,45.906572,3.5175740000000033,0,1746.6583503289467
"41.177.3.91",138,"41.177.3.215",138,2,458,0,0,2,458,49.424303,0.0001430000000013365,0,0
"41.177.3.91",137,"41.177.3.241",137,6,576,0,0,6,576,51.120056,1.497246000000004,0,3077.6505664399756
"41.177.3.91",138,"41.177.3.103",138,2,494,0,0,2,494,135.583767,0.00015100000001666558,0,0
"41.177.3.103",68,"91.91.91.91",67,8,4752,8,4752,0,0,2.530482,178.589093,212.86854287344414,0
"41.177.3.108",123,"145.95.81.118",123,6,564,3,282,3,282,57.075486,128.000923,17.624872908143015,17.624872908143015
"41.177.3.121",5353,"210.218.218.3",5353,2,170,2,170,0,0,67.867044,6.099999998809835e-5,0,0
"41.177.3.164",1985,"210.218.218.164",1985,172,11320,172,11320,0,0,1.788837,211.128047,428.9340108375085,0
"41.177.3.184",657,"41.177.3.224",657,36,3672,18,1836,18,1836,9.376204,202.398697,72.56963714544071,72.56963714544071
"41.177.3.184",657,"41.177.3.203",657,36,3672,18,1836,18,1836,9.376209,202.398727,72.56962638900391,72.56962638900391
"41.177.3.192",1985,"210.218.218.164",1985,156,10296,156,10296,0,0,1.735705,210.428438,391.4299834321823,0
"41.177.3.203",37275,"41.177.202.202",53,2,308,1,84,1,224,14.061223,0.00012199999999928934,0,0
"41.177.3.203",37277,"41.177.202.202",53,2,340,1,91,1,249,14.068588,0.00019600000000075113,0,0
"41.177.3.203",37278,"41.177.202.202",53,2,340,1,91,1,249,14.069142,0.0001270000000008764,0,0
"41.177.3.203",37279,"41.177.202.202",53,4,444,2,158,2,286,17.286342,0.0004269999999984009,0,0
"41.177.3.203",37281,"41.177.202.202",53,2,308,1,84,1,224,21.283463,0.0001619999999995514,0,0
"41.177.3.203",37282,"41.177.202.202",53,2,308,1,84,1,224,52.561774,0.00013799999999974943,0,0
"41.177.3.203",37283,"41.177.202.202",53,2,304,1,82,1,222,59.439424,0.00012299999999498823,0,0
"41.177.3.203",37284,"41.177.202.202",53,2,308,1,84,1,224,77.610276,0.00017400000000122873,0,0
"41.177.3.203",37285,"41.177.202.202",53,2,308,1,84,1,224,78.051407,0.00012300000000209366,0,0
"41.177.3.203",37286,"41.177.202.202",53,2,308,1,84,1,224,82.804492,0.00013800000000685486,0,0
"41.177.3.203",37287,"41.177.202.202",53,2,308,1,84,1,224,83.827027,0.000137999999992644,0,0
"41.177.3.203",37288,"41.177.202.202",53,2,308,1,84,1,224,94.629709,0.00014399999999170632,0,0
"41.177.3.203",37289,"41.177.202.202",53,2,308,1,84,1,224,94.790828,0.0001409999999992806,0,0
"41.177.3.203",37290,"41.177.202.202",53,2,308,1,84,1,224,95.195119,0.00014399999999170632,0,0
"41.177.3.203",37291,"41.177.202.202",53,4,444,2,158,2,286,95.286885,0.00033299999999769625,0,0
"41.177.3.203",37293,"41.177.202.202",53,2,308,1,84,1,224,95.563734,0.00011899999999798183,0,0
"41.177.3.203",37294,"41.177.202.202",53,2,308,1,84,1,224,95.938212,0.00016300000000057935,0,0
"41.177.3.203",37295,"41.177.202.202",53,2,304,1,82,1,222,96.656068,0.0001469999999983429,0,0
"41.177.3.203",37296,"41.177.202.202",53,2,308,1,84,1,224,115.084469,0.00013599999999769352,0,0
"41.177.3.203",37297,"41.177.202.202",53,2,304,1,82,1,222,119.648844,0.00017200000000627824,0,0
"41.177.3.203",37298,"41.177.202.202",53,2,308,1,84,1,224,146.359238,0.00014300000000844193,0,0
"41.177.3.203",37299,"41.177.202.202",53,2,308,1,84,1,224,150.88886,0.00014300000000844193,0,0
"41.177.3.203",37300,"41.177.202.202",53,2,308,1,84,1,224,151.275436,0.00015999999999394277,0,0
"41.177.3.203",37301,"41.177.202.202",53,4,444,2,158,2,286,173.287389,0.0004020000000082291,0,0
"41.177.3.203",37303,"41.177.202.202",53,2,308,1,84,1,224,176.385644,0.00014299999998002022,0,0
"41.177.3.203",37304,"41.177.202.202",53,2,312,1,86,1,226,176.387602,0.00013900000001854096,0,0
"41.177.3.203",37305,"41.177.202.202",53,2,308,1,84,1,224,177.598429,0.00012999999998442036,0,0
"41.177.3.203",37306,"41.177.202.202",53,2,304,1,82,1,222,179.908324,0.00016400000001226545,0,0
"41.177.3.203",123,"41.177.108.224",123,2,188,1,94,1,94,199.399726,0.00018700000001103945,0,0
"41.177.3.203",37307,"41.177.202.202",53,2,308,1,84,1,224,208.843227,0.0001449999999749707,0,0
"41.177.3.204",5353,"210.218.218.3",5353,2,174,2,174,0,0,67.840907,5.600000000072214e-5,0,0
"41.177.3.220",65281,"210.218.218.3",5353,4,544,4,544,0,0,48.605283,0.00032199999999704687,0,0
"41.177.3.220",49481,"210.218.218.3",5353,4,544,4,544,0,0,108.705861,0.0003580000000056316,0,0
"41.177.3.220",61440,"210.218.218.3",5353,4,544,4,544,0,0,168.701946,0.00043500000001017725,0,0
"41.177.3.224",123,"41.177.230.31",123,2,188,1,94,1,94,29.61489,9.600000000276054e-5,0,0
"41.177.3.224",43528,"41.177.202.202",53,2,312,1,86,1,226,85.609143,0.00014299999999423108,0,0
"41.177.3.224",43529,"41.177.202.202",53,2,312,1,86,1,226,176.925912,0.00018299999999271677,0,0
"41.177.3.224",43530,"41.177.202.202",53,2,312,1,86,1,226,176.927915,0.00014299999998002022,0,0
"41.177.3.241",626,"210.218.218.160",626,14,1218,14,1218,0,0,4.241104,180.00537799999998,54.13171599795202,0
"41.177.3.241",5353,"210.218.218.3",5353,29,2368,29,2368,0,0,4.435694,205.341718,92.25597304099696,0
"41.177.4.43",138,"41.177.4.91",138,1,247,1,247,0,0,134.364304,0,0,0
"41.177.4.164",1985,"210.218.218.164",1985,86,5660,86,5660,0,0,2.7951129999999997,209.24203300000002,216.40011498072184,0
"41.177.4.192",1985,"210.218.218.164",1985,77,5082,77,5082,0,0,2.037683,210.57333400000002,193.07287977878528,0
"41.177.18.41",1985,"210.218.218.164",1985,86,5660,86,5660,0,0,2.364836,209.22000500000001,216.42289894792802,0
"41.177.18.186",1985,"210.218.218.164",1985,78,5148,78,5148,0,0,1.431646,209.044511,197.01067396120246,0
"41.177.24.188",1985,"210.218.218.164",1985,258,16980,258,16980,0,0,0.796944,210.240013,646.1186815090236,0
"41.177.24.249",1985,"210.218.218.164",1985,240,15840,240,15840,0,0,0.359637,212.108597,597.4298156335454,0
"41.177.26.77",514,"41.177.26.209",514,24,4156,24,4156,0,0,42.382482,80.145678,414.8445783938592,0
"41.177.26.84",37881,"75.66.142.244",1811,1,76,0,0,1,76,140.468028,0,0,0
"41.177.26.117",32774,"41.177.26.209",514,8,1980,8,1980,0,0,14.501541,102.908008,153.9238812202059,0
"41.177.26.164",1985,"210.218.218.164",1985,170,11192,170,11192,0,0,1.5329380000000001,211.211978,423.9153519976978,0
"41.177.26.176",43302,"41.177.202.202",53,2,404,1,89,1,315,0.086492,0.00014400000000000523,0,0
"41.177.26.176",43303,"41.177.202.202",53,2,390,1,98,1,292,0.087123,0.00013299999999999423,0,0
"41.177.26.176",43304,"41.177.202.202",53,2,390,1,98,1,292,0.088007,0.00013199999999999323,0,0
"41.177.26.176",43305,"41.177.202.202",53,2,404,1,89,1,315,0.176129,0.00015199999999998548,0,0
"41.177.26.176",43306,"41.177.202.202",53,2,390,1,98,1,292,0.176861,0.00013499999999999623,0,0
"41.177.26.176",43307,"41.177.202.202",53,2,390,1,98,1,292,0.177982,0.00012699999999998823,0,0
"41.177.26.176",43308,"41.177.202.202",53,2,319,1,87,1,232,0.267956,0.00013199999999996548,0,0
"41.177.26.176",43309,"41.177.202.202",53,2,404,1,89,1,315,0.27492,0.00015199999999998548,0,0
"41.177.26.176",43310,"41.177.202.202",53,2,390,1,98,1,292,0.276099,0.000136000000000025,0,0
"41.177.26.176",43311,"41.177.202.202",53,2,390,1,98,1,292,0.277157,0.00012899999999999023,0,0
"41.177.26.176",43312,"41.177.202.202",53,2,346,1,90,1,256,0.29553,0.00013799999999997148,0,0
"41.177.26.176",43313,"41.177.202.202",53,2,319,1,87,1,232,0.296251,0.000124000000000013,0,0
"41.177.26.176",43314,"41.177.202.202",53,2,319,1,87,1,232,0.29713,0.00015399999999998748,0,0
"41.177.26.176",43315,"41.177.202.202",53,2,404,1,89,1,315,0.308015,0.00017400000000000748,0,0
"41.177.26.176",43316,"41.177.202.202",53,2,390,1,98,1,292,0.308645,0.00011899999999998023,0,0
"41.177.26.176",43317,"41.177.202.202",53,2,390,1,98,1,292,0.309473,0.00012299999999998423,0,0
"41.177.26.176",43318,"41.177.202.202",53,2,319,1,87,1,232,0.312968,0.00012599999999995948,0,0
"41.177.26.176",43319,"41.177.202.202",53,2,346,1,90,1,256,0.316005,0.00012100000000003774,0,0
"41.177.26.176",43320,"41.177.202.202",53,2,319,1,87,1,232,0.316576,0.00012099999999998223,0,0
"41.177.26.176",43321,"41.177.202.202",53,2,319,1,87,1,232,0.317592,0.00011700000000003374,0,0
"41.177.26.176",43322,"41.177.202.202",53,2,319,1,87,1,232,0.323585,0.00012499999999998623,0,0
"41.177.26.176",43323,"41.177.202.202",53,2,346,1,90,1,256,0.326356,0.00012900000000004574,0,0
"41.177.26.176",43324,"41.177.202.202",53,2,319,1,87,1,232,0.327016,0.00011500000000003174,0,0
"41.177.26.176",43325,"41.177.202.202",53,2,319,1,87,1,232,0.327864,0.00012000000000000899,0,0
"41.177.26.176",43326,"41.177.202.202",53,2,404,1,89,1,315,0.739476,0.00017899999999992922,0,0
"41.177.26.176",43327,"41.177.202.202",53,2,390,1,98,1,292,0.740121,0.00015299999999995872,0,0
"41.177.26.176",43328,"41.177.202.202",53,2,390,1,98,1,292,0.74106,0.00014799999999992597,0,0
"41.177.26.176",43329,"41.177.202.202",53,2,404,1,89,1,315,0.795196,0.00015900000000002024,0,0
"41.177.26.176",43330,"41.177.202.202",53,2,390,1,98,1,292,0.795824,0.00014300000000000423,0,0
"41.177.26.176",43331,"41.177.202.202",53,2,390,1,98,1,292,0.796675,0.00014300000000000423,0,0
"41.177.26.176",43332,"41.177.202.202",53,2,233,1,91,1,142,0.801083,0.00013300000000004975,0,0
"41.177.26.176",43333,"41.177.202.202",53,2,404,1,89,1,315,0.898361,0.00015900000000002024,0,0
"41.177.26.176",43334,"41.177.202.202",53,2,390,1,98,1,292,0.898974,0.00014499999999995072,0,0
"41.177.26.176",43335,"41.177.202.202",53,2,390,1,98,1,292,0.899877,0.00017000000000000348,0,0
"41.177.26.176",43336,"41.177.202.202",53,2,404,1,89,1,315,0.970276,0.00016499999999997073,0,0
"41.177.26.176",43337,"41.177.202.202",53,2,390,1,98,1,292,0.971021,0.00013900000000000023,0,0
"41.177.26.176",43338,"41.177.202.202",53,2,390,1,98,1,292,0.971866,0.000144000000000033,0,0
"41.177.26.176",43339,"41.177.202.202",53,2,404,1,89,1,315,1.134129,0.00017599999999995397,0,0
"41.177.26.176",43340,"41.177.202.202",53,2,390,1,98,1,292,1.13485,0.00013900000000011126,0,0
"41.177.26.176",43341,"41.177.202.202",53,2,390,1,98,1,292,1.135731,0.00015100000000001224,0,0
"41.177.26.176",43342,"41.177.202.202",53,2,319,1,87,1,232,1.272746,0.000140000000000029,0,0
"41.177.26.176",43343,"41.177.202.202",53,2,346,1,90,1,256,1.300445,0.000148000000000037,0,0
"41.177.26.176",43344,"41.177.202.202",53,2,319,1,87,1,232,1.300994,0.000136000000000136,0,0
"41.177.26.176",43345,"41.177.202.202",53,2,319,1,87,1,232,1.302464,0.00013599999999991397,0,0
"41.177.26.176",43346,"41.177.202.202",53,2,319,1,87,1,232,1.317915,0.000140000000000029,0,0
"41.177.26.176",43347,"41.177.202.202",53,2,346,1,90,1,256,1.32068,0.0001529999999998477,0,0
"41.177.26.176",43348,"41.177.202.202",53,2,319,1,87,1,232,1.321177,0.000140000000000029,0,0
"41.177.26.176",43349,"41.177.202.202",53,2,319,1,87,1,232,1.321985,0.0001420000000000865,0,0
"41.177.26.176",43350,"41.177.202.202",53,2,319,1,87,1,232,1.32707,0.000144000000000144,0,0
"41.177.26.176",43351,"41.177.202.202",53,2,346,1,90,1,256,1.32992,0.00016300000000013526,0,0
"41.177.26.176",43352,"41.177.202.202",53,2,319,1,87,1,232,1.330494,0.00014099999999994672,0,0
"41.177.26.176",43353,"41.177.202.202",53,2,319,1,87,1,232,1.331615,0.000136000000000136,0,0
"41.177.26.176",43354,"41.177.202.202",53,2,404,1,89,1,315,1.508303,0.00012499999999993072,0,0
"41.177.26.176",43355,"41.177.202.202",53,2,390,1,98,1,292,1.5088949999999999,0.00013800000000019352,0,0
"41.177.26.176",43356,"41.177.202.202",53,2,390,1,98,1,292,1.509746,0.00013499999999999623,0,0
"41.177.26.176",43357,"41.177.202.202",53,2,404,1,89,1,315,1.536533,0.0001500000000000945,0,0
"41.177.26.176",43358,"41.177.202.202",53,2,390,1,98,1,292,1.537143,0.00013700000000005375,0,0
"41.177.26.176",43359,"41.177.202.202",53,2,390,1,98,1,292,1.538039,0.00010300000000018628,0,0
"41.177.26.176",43360,"41.177.202.202",53,2,404,1,89,1,315,1.5848170000000001,0.00014999999999987246,0,0
"41.177.26.176",43361,"41.177.202.202",53,2,390,1,98,1,292,1.585412,0.00014099999999994672,0,0
"41.177.26.176",43362,"41.177.202.202",53,2,390,1,98,1,292,1.5862699999999998,0.00013900000000011126,0,0
"41.177.26.176",43363,"41.177.202.202",53,2,404,1,89,1,315,1.617316,0.0001420000000000865,0,0
"41.177.26.176",43364,"41.177.202.202",53,2,390,1,98,1,292,1.617979,0.00012999999999996348,0,0
"41.177.26.176",43365,"41.177.202.202",53,2,390,1,98,1,292,1.6188289999999999,0.0001290000000002678,0,0
"41.177.26.176",43366,"41.177.202.202",53,2,404,1,89,1,315,1.6244459999999998,0.000152000000000152,0,0
"41.177.26.176",43367,"41.177.202.202",53,2,390,1,98,1,292,1.625394,0.000132000000000021,0,0
"41.177.26.176",43368,"41.177.202.202",53,2,390,1,98,1,292,1.626513,0.0001129999999998077,0,0
"41.177.26.176",43369,"41.177.202.202",53,2,404,1,89,1,315,1.723965,0.00016800000000016801,0,0
"41.177.26.176",43370,"41.177.202.202",53,2,390,1,98,1,292,1.724568,0.0001469999999998972,0,0
"41.177.26.176",43371,"41.177.202.202",53,2,390,1,98,1,292,1.7254800000000001,0.0001469999999998972,0,0
"41.177.26.176",43372,"41.177.202.202",53,2,404,1,89,1,315,1.784997,0.00016500000000019277,0,0
"41.177.26.176",43373,"41.177.202.202",53,2,390,1,98,1,292,1.785905,0.00014899999999995472,0,0
"41.177.26.176",43374,"41.177.202.202",53,2,390,1,98,1,292,1.7869519999999999,0.00011900000000020228,0,0
"41.177.26.176",43375,"41.177.202.202",53,2,404,1,89,1,315,1.931215,0.00016700000000025028,0,0
"41.177.26.176",43376,"41.177.202.202",53,2,390,1,98,1,292,1.9320110000000001,0.00014799999999981495,0,0
"41.177.26.176",43377,"41.177.202.202",53,2,390,1,98,1,292,1.932953,0.00014300000000000423,0,0
"41.177.26.176",43378,"41.177.202.202",53,2,404,1,89,1,315,2.142385,0.00017800000000001148,0,0
"41.177.26.176",43379,"41.177.202.202",53,2,390,1,98,1,292,2.143029,0.000156000000000045,0,0
"41.177.26.176",43380,"41.177.202.202",53,2,390,1,98,1,292,2.143948,0.00016700000000025028,0,0
"41.177.26.176",43381,"41.177.202.202",53,2,404,1,89,1,315,2.396995,0.00014899999999995472,0,0
"41.177.26.176",43382,"41.177.202.202",53,2,390,1,98,1,292,2.397712,0.000140000000000029,0,0
"41.177.26.176",43383,"41.177.202.202",53,2,390,1,98,1,292,2.398591,0.0001449999999998397,0,0
"41.177.26.176",43384,"41.177.202.202",53,2,404,1,89,1,315,2.410191,0.00016299999999969117,0,0
"41.177.26.176",43385,"41.177.202.202",53,2,390,1,98,1,292,2.410837,0.00013700000000005375,0,0
"41.177.26.176",43386,"41.177.202.202",53,2,390,1,98,1,292,2.411724,0.00012999999999996348,0,0
"41.177.26.176",43387,"41.177.202.202",53,2,404,1,89,1,315,2.427203,0.00015700000000018477,0,0
"41.177.26.176",43388,"41.177.202.202",53,2,390,1,98,1,292,2.427814,0.00014699999999967517,0,0
"41.177.26.176",43389,"41.177.202.202",53,2,390,1,98,1,292,2.429432,0.00014700000000011926,0,0
"41.177.26.176",43390,"41.177.202.202",53,2,404,1,89,1,315,2.536979,0.000156000000000045,0,0
"41.177.26.176",43391,"41.177.202.202",53,2,390,1,98,1,292,2.537635,0.00014599999999997948,0,0
"41.177.26.176",43392,"41.177.202.202",53,2,390,1,98,1,292,2.538517,0.00015199999999992997,0,0
"41.177.26.176",43393,"41.177.202.202",53,2,319,1,87,1,232,2.73426,0.00014700000000011926,0,0
"41.177.26.176",43394,"41.177.202.202",53,2,346,1,90,1,256,2.763334,0.00011699999999992272,0,0
"41.177.26.176",43395,"41.177.202.202",53,2,319,1,87,1,232,2.76397,0.0001389999999998892,0,0
"41.177.26.176",43396,"41.177.202.202",53,2,319,1,87,1,232,2.764991,0.00014399999999969992,0,0
"41.177.26.176",43397,"41.177.202.202",53,2,319,1,87,1,232,2.800549,0.00015300000000006975,0,0
"41.177.26.176",43398,"41.177.202.202",53,2,346,1,90,1,256,2.803821,0.00014899999999995472,0,0
"41.177.26.176",43399,"41.177.202.202",53,2,319,1,87,1,232,2.804385,0.00014300000000000423,0,0
"41.177.26.176",43400,"41.177.202.202",53,2,319,1,87,1,232,2.805249,0.00013700000000005375,0,0
"41.177.26.176",43401,"41.177.202.202",53,2,319,1,87,1,232,2.814298,0.00012999999999996348,0,0
"41.177.26.176",43402,"41.177.202.202",53,2,346,1,90,1,256,2.817879,0.00014599999999997948,0,0
"41.177.26.176",43403,"41.177.202.202",53,2,319,1,87,1,232,2.8184940000000003,0.0001399999999995849,0,0
"41.177.26.176",43404,"41.177.202.202",53,2,319,1,87,1,232,2.820093,0.00013599999999991397,0,0
"41.177.26.176",43405,"41.177.202.202",53,2,404,1,89,1,315,2.87585,0.00017300000000020077,0,0
"41.177.26.176",43406,"41.177.202.202",53,2,390,1,98,1,292,2.876482,0.0001449999999998397,0,0
"41.177.26.176",43407,"41.177.202.202",53,2,390,1,98,1,292,2.8774610000000003,0.00013199999999979894,0,0
"41.177.26.176",43408,"41.177.202.202",53,2,319,1,87,1,232,3.010628,0.00018399999999996197,0,0
"41.177.26.176",43409,"41.177.202.202",53,2,346,1,90,1,256,3.038911,0.0001509999999997902,0,0
"41.177.26.176",43410,"41.177.202.202",53,2,319,1,87,1,232,3.039495,0.000140000000000029,0,0
"41.177.26.176",43411,"41.177.202.202",53,2,319,1,87,1,232,3.040351,0.00014800000000025904,0,0
"41.177.26.176",43412,"41.177.202.202",53,2,319,1,87,1,232,3.055953,0.00014300000000000423,0,0
"41.177.26.176",43413,"41.177.202.202",53,2,346,1,90,1,256,3.058718,0.00014700000000011926,0,0
"41.177.26.176",43414,"41.177.202.202",53,2,319,1,87,1,232,3.059235,0.00014099999999972468,0,0
"41.177.26.176",43415,"41.177.202.202",53,2,319,1,87,1,232,3.060105,0.0001349999999997742,0,0
"41.177.26.176",43416,"41.177.202.202",53,2,319,1,87,1,232,3.065902,0.00013599999999991397,0,0
"41.177.26.176",43417,"41.177.202.202",53,2,346,1,90,1,256,3.068642,0.0002409999999999357,0,0
"41.177.26.176",43418,"41.177.202.202",53,2,319,1,87,1,232,3.069394,0.00017600000000017602,0,0
"41.177.26.176",43419,"41.177.202.202",53,2,319,1,87,1,232,3.07028,0.00013100000000010326,0,0
"41.177.26.176",43420,"41.177.202.202",53,2,319,1,87,1,232,3.191185,0.00013700000000005375,0,0
"41.177.26.176",43421,"41.177.202.202",53,2,346,1,90,1,256,3.218903,0.000172000000000061,0,0
"41.177.26.176",43422,"41.177.202.202",53,2,319,1,87,1,232,3.219487,0.0001829999999998222,0,0
"41.177.26.176",43423,"41.177.202.202",53,2,319,1,87,1,232,3.220471,9.499999999995623e-5,0,0
"41.177.26.176",43424,"41.177.202.202",53,2,319,1,87,1,232,3.254698,0.0001340000000000785,0,0
"41.177.26.176",43425,"41.177.202.202",53,2,346,1,90,1,256,3.2578139999999998,0.0001490000000003988,0,0
"41.177.26.176",43426,"41.177.202.202",53,2,319,1,87,1,232,3.258352,0.0001180000000000625,0,0
"41.177.26.176",43427,"41.177.202.202",53,2,319,1,87,1,232,3.259187,0.00013700000000005375,0,0
"41.177.26.176",43428,"41.177.202.202",53,2,319,1,87,1,232,3.265116,0.000144000000000144,0,0
"41.177.26.176",43429,"41.177.202.202",53,2,346,1,90,1,256,3.2682700000000002,0.00014799999999981495,0,0
"41.177.26.176",43430,"41.177.202.202",53,2,319,1,87,1,232,3.268846,0.00013500000000021828,0,0
"41.177.26.176",43431,"41.177.202.202",53,2,319,1,87,1,232,3.269684,0.0001610000000002998,0,0
"41.177.26.176",43432,"41.177.202.202",53,2,404,1,89,1,315,3.345223,0.00018500000000010175,0,0
"41.177.26.176",43433,"41.177.202.202",53,2,390,1,98,1,292,3.345899,0.0001609999999998557,0,0
"41.177.26.176",43434,"41.177.202.202",53,2,390,1,98,1,292,3.346776,0.00015199999999992997,0,0
"41.177.26.176",43435,"41.177.202.202",53,2,404,1,89,1,315,3.476776,0.00015499999999990521,0,0
"41.177.26.176",43436,"41.177.202.202",53,2,390,1,98,1,292,3.477422,0.0001550000000003493,0,0
"41.177.26.176",43437,"41.177.202.202",53,2,390,1,98,1,292,3.478315,0.000188000000000077,0,0
