"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176",51077,"41.177.202.202",53,2,407,1,90,1,317,171.648919,0.0001629999999863685,0,0
"41.177.26.176",51078,"41.177.202.202",53,2,392,1,99,1,293,171.649554,0.00015200000001414082,0,0
"41.177.26.176",51079,"41.177.202.202",53,2,392,1,99,1,293,171.650415,0.00014500000000339242,0,0
"41.177.26.176",51080,"41.177.202.202",53,2,407,1,90,1,317,171.661549,0.00015999999999394277,0,0
"41.177.26.176",51081,"41.177.202.202",53,2,392,1,99,1,293,171.662172,0.00013699999999516876,0,0
"41.177.26.176",51082,"41.177.202.202",53,2,392,1,99,1,293,171.66312,0.0001469999999983429,0,0
"41.177.26.176",51083,"41.177.202.202",53,2,319,1,87,1,232,171.66646,0.00013500000000021828,0,0
"41.177.26.176",51084,"41.177.202.202",53,2,346,1,90,1,256,171.697957,0.00014400000000591717,0,0
"41.177.26.176",51085,"41.177.202.202",53,2,319,1,87,1,232,171.698488,0.00014100000001349144,0,0
"41.177.26.176",51086,"41.177.202.202",53,2,319,1,87,1,232,171.699376,0.0001330000000052678,0,0
"41.177.26.176",51087,"41.177.202.202",53,2,319,1,87,1,232,171.737429,0.00013599999999769352,0,0
"41.177.26.176",51088,"41.177.202.202",53,2,346,1,90,1,256,171.741051,0.00014300000000844193,0,0
"41.177.26.176",51089,"41.177.202.202",53,2,319,1,87,1,232,171.74184,0.0001400000000160162,0,0
"41.177.26.176",51090,"41.177.202.202",53,2,319,1,87,1,232,171.742726,0.0001399999999875945,0,0
"41.177.26.176",51091,"41.177.202.202",53,2,319,1,87,1,232,171.751617,0.00012300000000209366,0,0
"41.177.26.176",51092,"41.177.202.202",53,2,346,1,90,1,256,171.754953,0.0001420000000109667,0,0
"41.177.26.176",51093,"41.177.202.202",53,2,319,1,87,1,232,171.755537,0.000160999999991418,0,0
"41.177.26.176",51094,"41.177.202.202",53,2,319,1,87,1,232,171.756452,0.00016600000000721593,0,0
"41.177.26.176",51095,"41.177.202.202",53,2,407,1,90,1,317,171.759797,0.0001540000000090913,0,0
"41.177.26.176",51096,"41.177.202.202",53,2,392,1,99,1,293,171.760525,0.0004999999999881766,0,0
"41.177.26.176",51097,"41.177.202.202",53,2,392,1,99,1,293,171.761885,0.00013599999999769352,0,0
"41.177.26.176",51098,"41.177.202.202",53,2,367,1,89,1,278,171.897136,0.00015200000001414082,0,0
"41.177.26.176",51099,"41.177.202.202",53,2,351,1,96,1,255,171.898083,0.00015599999997562009,0,0
"41.177.26.176",51100,"41.177.202.202",53,2,351,1,96,1,255,171.899142,0.00023699999999848842,0,0
"41.177.26.176",51101,"41.177.202.202",53,2,397,1,89,1,308,172.024147,0.00016600000000721593,0,0
"41.177.26.176",51102,"41.177.202.202",53,2,376,1,91,1,285,172.024766,0.06263699999999517,11622.523428645309,36400.210738064976
"41.177.26.176",51103,"41.177.202.202",53,2,376,1,91,1,285,172.088271,0.00015100000001666558,0,0
"41.177.26.176",51104,"41.177.202.202",53,2,407,1,90,1,317,172.132277,0.00015700000000151704,0,0
"41.177.26.176",51105,"41.177.202.202",53,2,392,1,99,1,293,172.132928,0.00014400000000591717,0,0
"41.177.26.176",51106,"41.177.202.202",53,2,392,1,99,1,293,172.133927,0.00013899999999011925,0,0
"41.177.26.176",51107,"41.177.202.202",53,2,407,1,90,1,317,172.154976,0.0001540000000090913,0,0
"41.177.26.176",51108,"41.177.202.202",53,2,392,1,99,1,293,172.155613,0.00013800000002106572,0,0
"41.177.26.176",51109,"41.177.202.202",53,2,392,1,99,1,293,172.156567,0.0001469999999983429,0,0
"41.177.26.176",51110,"41.177.202.202",53,2,407,1,90,1,317,172.190497,0.00016400000001226545,0,0
"41.177.26.176",51111,"41.177.202.202",53,2,392,1,99,1,293,172.191138,0.00014600000000086766,0,0
"41.177.26.176",51112,"41.177.202.202",53,2,392,1,99,1,293,172.192004,0.00014600000000086766,0,0
"41.177.26.176",51113,"41.177.202.202",53,2,407,1,90,1,317,172.2552,0.0001560000000040418,0,0
"41.177.26.176",51114,"41.177.202.202",53,2,392,1,99,1,293,172.255878,0.00014500000000339242,0,0
"41.177.26.176",51115,"41.177.202.202",53,2,392,1,99,1,293,172.256874,0.00015700000000151704,0,0
"41.177.26.176",51116,"41.177.202.202",53,2,407,1,90,1,317,172.340593,0.00016599999997879422,0,0
"41.177.26.176",51117,"41.177.202.202",53,2,392,1,99,1,293,172.341242,0.00017500000001291482,0,0
"41.177.26.176",51118,"41.177.202.202",53,2,392,1,99,1,293,172.342172,0.00014600000000086766,0,0
